model Id,total params,file size,flops,params from profile,metric,graph_size
0,80720,332.093,15243510,80720,0.618,80982
4,154640,628.289,28379382,154640,0.6708,155030
5,84880,349.317,15767798,84880,0.6476,85142
6,171152,695.535,30484726,171152,0.6784,171542
9,171408,698.566,30517494,171408,0.6768,172054
11,580880,2335.034,57747704,580880,0.7016,581270
13,593232,2385.947,59345144,593232,0.71,593622
14,589200,2369.819,58808568,589200,0.702,589590
15,597392,2404.092,59881720,597392,0.714,597782
17,597392,2404.399,59884792,597392,0.6908,597782
18,634320,2552.389,70367480,634320,0.7064,634710
19,597392,2404.399,59898104,597392,0.6668,597782
21,605648,2438.314,60938488,605648,0.6404,606038
22,605712,2438.877,60942584,605712,0.7072,606102
24,597520,2406.099,59947256,597520,0.7116,598038
27,605648,2438.314,60938488,605648,0.6896,606038
28,605712,2438.877,60942584,605712,0.6888,606102
29,601744,2423.005,62079480,601744,0.6808,602134
31,1023760,4111.576,89274616,1023760,0.694,1024406
33,597392,2404.399,59889912,597392,0.7156,597782
34,1040016,4175.177,91339000,1040016,0.6852,1040406
35,597904,2408.259,59941176,597904,0.7204,598294
37,598160,2411.29,59973944,598160,0.7528,598806
38,597916,2408.89,59959608,597916,0.7032,598306
42,1171856,4706.666,131277112,1171856,0.7384,1172502
43,1171856,4706.666,99819832,1171856,0.7592,1172502
52,1286672,5166.517,116072760,1286672,0.752,1287318
55,1352208,5428.663,132849976,1352208,0.7528,1352854
56,1249828,5019.139,105679160,1249828,0.7636,1250474
64,1266724,5088.535,107827576,1266724,0.7292,1267370
67,1250340,5022.999,105730424,1250340,0.7596,1250986
70,1249956,5021.146,105744696,1249956,0.76,1250730
72,1266340,5085.771,107776312,1266340,0.7712,1266986
80,1413924,5676.694,118262072,1413924,0.7512,1414570
83,1266596,5088.802,107809080,1266596,0.7568,1267498
84,1268408,5096.05,109867320,1268408,0.7516,1269310
132,1368804,5496.214,135039296,1368804,0.7516,1369450
135,1282852,5152.403,109873464,1282852,0.7528,1283498
142,1266596,5088.606,107803000,1266596,0.7812,1267242
146,1266596,5088.913,107811192,1266596,0.7496,1267242
147,1266852,5091.637,107835768,1266852,0.7616,1267754
150,1266824,5090.101,108042616,1266824,0.764,1267470
152,1266824,5090.101,108042616,1266824,0.7656,1267470
155,1266852,5091.637,107835768,1266852,0.754,1267754
177,1266596,5088.913,107811192,1266596,0.778,1267242
182,1266852,5091.637,107835768,1266852,0.7684,1267754
221,1369060,5499.049,135065984,1369060,0.7508,1369706
274,1369060,5499.049,114618744,1369060,0.7572,1369706
300,1266596,5088.913,107811192,1266596,0.7572,1267242
308,1266596,5088.913,107811192,1266596,0.7452,1267242
311,1414180,5679.529,118288760,1414180,0.7728,1414826
326,1303524,5236.903,108458360,1303524,0.7576,1304170
333,1266852,5091.441,107829688,1266852,0.7636,1267498
338,1266596,5088.913,107811192,1266596,0.7736,1267242
345,1266852,5091.637,107835768,1266852,0.7572,1267754
347,1266724,5090.613,107819384,1266724,0.7608,1267498
355,1268408,5095.854,109861240,1268408,0.7644,1269054
360,1270948,5107.826,108353976,1270948,0.7648,1271594
365,1266608,5089.237,107821432,1266608,0.7532,1267254
367,1266596,5088.913,107806072,1266596,0.7124,1267242
370,1303524,5236.903,118288760,1303524,0.7596,1304170
382,1266852,5091.637,107835768,1266852,0.7688,1267754
390,1266608,5089.237,107821432,1266608,0.7468,1267254
399,1270756,5105.83,108327288,1270756,0.76,1271402
408,1369060,5499.049,109506936,1369060,0.7608,1369706
412,80720,332.093,15243510,80720,0.664,80982
413,1266608,5089.851,107824504,1266608,0.7628,1267254
419,1266680,5089.525,107895160,1266680,0.7744,1267326
421,1266608,5089.237,107821432,1266608,0.768,1267254
425,1266596,5088.913,107806072,1266596,0.752,1267242
426,1266830,5091.132,108054904,1266830,0.768,1267482
428,1266602,5089.637,107815288,1266602,0.7712,1267254
431,1283108,5155.238,109900152,1283108,0.7616,1283754
436,80720,332.093,15243510,80720,0.6352,80982
438,1266852,5091.637,107835768,1266852,0.748,1267754
446,80720,332.093,15243510,80720,0.63,80982
449,1266680,5089.525,107895160,1266680,0.7616,1267326
453,80720,332.093,15243510,80720,0.6532,80982
461,1270756,5105.83,107934072,1270756,0.7636,1271402
465,80720,332.093,15243510,80720,0.6304,80982
475,1266724,5090.613,107807096,1266724,0.7756,1267498